student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade
69,Female,2.7,90.7,7.6,Bachelors,No,No,Yes,48.8
70,Female,2.3,67.4,8.6,High School,Yes,No,No,90.9
71,Female,3.3,92.5,6.1,High School,Yes,Yes,No,54.5
72,Female,1.9,88.8,7.1,Bachelors,Yes,Yes,No,70.7
73,Male,2.7,97.9,7.4,Masters,Yes,Yes,No,81.0
74,Female,1.7,91.7,7.4,Bachelors,Yes,Yes,No,75.1
75,Male,6.4,83.6,6.9,High School,Yes,Yes,No,69.3
76,Female,3.6,72.8,7.7,Masters,No,No,No,49.6
77,Female,2.5,82.9,7.4,High School,Yes,Yes,No,60.3
78,Female,3.8,76.5,5.3,Bachelors,Yes,Yes,No,72.3
79,Male,3.3,79.2,7.8,High School,Yes,Yes,Yes,60.6
80,Female,3.2,90.9,7.9,High School,Yes,No,No,72.4
81,Male,4.4,100.0,5.9,High School,Yes,No,No,78.2
82,Female,4.6,88.9,6.8,Bachelors,Yes,Yes,No,81.6
83,Male,2.7,73.0,7.6,High School,Yes,No,Yes,55.3
84,Female,2.6,89.4,6.5,Bachelors,Yes,No,No,96.4
85,Male,3.1,97.0,8.1,Bachelors,Yes,Yes,Yes,79.2
86,Male,0.5,78.9,9.6,Bachelors,Yes,Yes,Yes,70.0
87,Female,1.2,83.7,5.9,Bachelors,Yes,No,No,83.1
88,Male,5.6,85.1,5.1,Masters,Yes,No,No,98.4
89,Female,6.0,77.2,7.2,High School,Yes,No,No,52.7
90,Female,3.1,91.5,7.7,Bachelors,Yes,No,Yes,67.3
91,Female,4.4,83.8,6.5,High School,Yes,No,No,41.5
92,Female,4.0,89.2,8.5,High School,Yes,Yes,Yes,72.3
93,Female,8.1,76.1,5.2,Bachelors,Yes,Yes,No,74.4
94,Female,5.2,80.6,7.6,Bachelors,Yes,Yes,No,69.5
95,Female,3.3,92.2,6.1,PhD,Yes,Yes,No,62.1
96,Female,2.1,81.3,8.9,Bachelors,Yes,No,No,45.4
97,Female,1.1,100.0,9.2,None,Yes,No,Yes,74.5
98,Female,3.8,81.0,5.9,High School,No,No,No,87.5
99,Female,2.4,87.2,6.1,High School,Yes,Yes,Yes,62.9
100,Male,1.4,94.3,7.8,High School,No,No,No,75.3
101,Male,2.5,70.8,6.3,High School,Yes,Yes,No,51.2
102,Female,1.9,67.4,6.7,Bachelors,Yes,Yes,Yes,75.5
103,Female,6.0,69.7,6.8,Bachelors,No,No,No,65.3
104,Female,4.8,97.6,4.5,High School,Yes,No,No,60.9
105,Female,3.5,79.5,6.8,None,Yes,No,Yes,60.9
106,Female,5.7,100.0,6.0,Masters,Yes,Yes,Yes,65.3
107,Female,3.6,79.4,6.2,High School,Yes,Yes,Yes,74.6
108,Female,2.2,86.8,8.5,High School,Yes,Yes,No,54.3
109,Female,5.8,100.0,5.3,High School,Yes,Yes,No,65.2
110,Male,4.3,100.0,7.8,High School,No,No,Yes,69.5
111,Female,1.9,100.0,6.5,High School,Yes,No,Yes,56.8
112,Male,3.2,97.1,6.5,Bachelors,No,No,No,91.6
113,Female,2.2,95.2,7.7,High School,No,Yes,No,59.8
114,Female,1.4,90.9,7.2,Bachelors,Yes,No,No,62.0
115,Male,4.9,92.8,7.5,None,Yes,Yes,No,58.3
116,Female,6.4,79.5,8.0,Masters,No,No,Yes,91.6
117,Male,1.4,76.8,6.4,None,No,Yes,No,76.6
118,Female,4.3,85.0,6.1,High School,Yes,Yes,No,58.8
119,Female,2.5,83.3,5.5,Bachelors,Yes,Yes,Yes,83.3
120,Male,2.8,80.5,5.8,Bachelors,Yes,No,No,72.4
121,Female,2.6,92.0,10.0,High School,Yes,Yes,No,73.1
122,Male,2.2,94.6,8.3,High School,Yes,Yes,No,65.9
123,Female,3.6,85.9,5.2,Masters,Yes,No,Yes,61.0
124,Male,2.3,99.8,5.2,Bachelors,Yes,Yes,No,74.1
125,Male,3.9,73.6,7.4,Bachelors,Yes,Yes,No,63.5
126,Female,3.4,83.1,7.5,Bachelors,Yes,Yes,No,91.8
127,Female,3.1,77.8,7.5,Bachelors,Yes,Yes,No,54.8
128,Male,2.1,66.3,6.5,High School,Yes,No,Yes,88.4
129,Female,2.6,84.2,6.6,High School,Yes,No,Yes,68.7
130,Female,4.6,83.8,7.2,High School,Yes,Yes,No,73.6
131,Female,4.3,100.0,6.9,High School,Yes,No,Yes,80.0
132,Male,2.0,91.3,4.1,None,Yes,Yes,No,62.4
133,Male,3.6,74.8,6.5,Bachelors,No,Yes,No,80.4
134,Male,4.6,100.0,5.8,Masters,Yes,Yes,No,37.5
135,Male,1.0,97.2,7.0,High School,Yes,Yes,No,61.4
136,Male,4.3,90.8,10.0,Bachelors,Yes,Yes,No,58.9
137,Male,2.5,82.7,7.2,High School,No,No,Yes,55.0
138,Male,4.4,75.4,6.4,High School,Yes,No,No,67.4
139,Male,2.4,81.3,7.9,High School,Yes,Yes,No,74.6
140,Male,0.8,95.9,7.4,Masters,Yes,No,No,78.4
141,Female,1.1,100.0,7.3,Masters,Yes,No,Yes,72.9
142,Male,3.6,100.0,7.5,Bachelors,Yes,No,No,62.0
143,Female,3.9,80.1,9.3,Bachelors,Yes,No,Yes,74.4
144,Female,2.1,73.8,5.4,None,Yes,Yes,Yes,71.5
145,Female,4.5,86.4,7.4,High School,Yes,No,Yes,81.2
146,Male,1.0,67.3,5.7,High School,Yes,No,No,79.3
147,Male,3.4,88.2,7.5,High School,Yes,No,Yes,70.4
148,Male,1.7,83.5,5.7,Masters,Yes,Yes,Yes,59.2
149,Male,2.5,80.3,6.3,None,Yes,Yes,Yes,62.2
150,Female,3.6,69.1,6.4,High School,Yes,Yes,Yes,63.4
151,Male,2.2,90.1,8.0,PhD,Yes,Yes,No,66.2
152,Male,2.9,79.7,7.9,Masters,Yes,Yes,Yes,73.2
153,Male,5.0,73.3,5.3,High School,Yes,No,Yes,78.6
154,Male,2.6,56.3,6.9,Bachelors,No,Yes,No,69.4
155,Male,4.8,84.7,5.9,Bachelors,Yes,No,No,70.2
156,Female,1.8,100.0,5.3,None,Yes,Yes,No,71.7
157,Male,4.3,100.0,6.5,High School,Yes,No,No,63.8
158,Female,5.7,80.4,6.4,Masters,Yes,Yes,Yes,58.9
159,Male,0.5,79.0,9.7,High School,Yes,Yes,No,48.9
160,Female,2.3,89.7,7.3,Masters,Yes,No,Yes,61.7
161,Male,4.4,75.0,5.1,Bachelors,Yes,No,No,75.7
162,Male,3.2,88.0,6.1,Bachelors,Yes,No,No,61.6
163,Female,4.1,92.7,8.0,Masters,Yes,Yes,Yes,67.1
164,Female,2.6,97.3,9.3,Masters,Yes,Yes,No,75.6
165,Female,3.6,84.0,4.9,PhD,Yes,No,No,76.2
166,Male,3.3,83.0,4.5,High School,Yes,Yes,No,57.0
167,Female,5.3,76.2,9.0,Masters,Yes,No,No,82.0
168,Male,3.9,76.7,7.3,High School,Yes,Yes,No,83.5
169,Male,4.0,82.7,5.8,Bachelors,No,Yes,Yes,56.4
170,Female,2.9,88.7,7.4,Bachelors,No,Yes,Yes,60.1
171,Female,2.8,94.1,3.6,Bachelors,Yes,Yes,No,84.3
172,Male,2.9,77.0,6.8,Bachelors,Yes,No,No,68.2
173,Male,4.1,99.9,7.2,None,Yes,No,No,43.4
174,Female,2.9,82.3,7.9,High School,Yes,Yes,No,53.2
175,Female,3.9,84.8,5.6,Masters,Yes,No,No,67.0
176,Female,6.6,77.5,6.9,Bachelors,Yes,Yes,No,56.0
177,Male,4.8,60.8,5.7,High School,Yes,Yes,No,65.0
178,Male,3.0,93.8,7.1,High School,No,Yes,No,70.4
179,Male,5.3,92.4,5.7,None,Yes,No,No,87.5
180,Male,2.9,82.2,6.3,PhD,Yes,No,No,66.5
181,Male,0.5,85.7,5.6,None,Yes,No,No,82.9
182,Male,2.0,90.2,7.6,None,Yes,No,Yes,87.1
183,Female,0.7,69.4,7.8,High School,Yes,No,No,87.2
184,Male,3.0,79.7,6.5,Bachelors,Yes,No,No,73.4
185,Male,3.5,92.9,6.8,Masters,Yes,No,No,46.4
186,Male,6.0,72.5,5.1,Bachelors,Yes,No,No,75.5
187,Female,4.0,87.9,6.4,Bachelors,Yes,Yes,No,82.6
188,Male,3.2,71.4,6.7,Bachelors,Yes,Yes,Yes,69.0
189,Male,4.7,89.7,9.9,Bachelors,Yes,Yes,No,90.9
190,Female,0.5,84.6,5.5,Bachelors,Yes,Yes,No,80.3
191,Male,3.9,68.8,8.6,High School,Yes,No,No,76.8
192,Male,4.7,96.6,8.0,Bachelors,Yes,Yes,Yes,83.0
193,Male,1.3,77.7,7.1,Bachelors,Yes,No,No,74.0
194,Male,5.2,76.9,8.9,Bachelors,Yes,Yes,No,40.1
195,Male,4.0,87.0,7.2,High School,Yes,Yes,No,64.0
196,Female,2.9,96.5,7.3,Masters,No,Yes,No,84.4
197,Female,4.4,74.8,6.7,High School,Yes,No,No,60.3
198,Female,6.9,85.6,8.3,Bachelors,Yes,Yes,No,67.3
199,Male,3.8,89.3,8.1,Masters,Yes,Yes,No,57.5
200,Male,3.9,91.9,6.0,Bachelors,No,No,No,91.4
201,Male,2.8,86.8,5.2,High School,Yes,No,Yes,90.2
202,Female,2.2,81.3,6.6,Masters,Yes,Yes,No,59.4
203,Male,4.7,76.7,5.8,Bachelors,Yes,Yes,No,71.8
204,Male,2.2,85.9,6.7,Masters,Yes,Yes,No,61.8
205,Female,3.6,74.3,8.3,Masters,Yes,No,No,77.4
206,Male,2.8,55.8,6.3,Bachelors,Yes,Yes,Yes,76.1
207,Female,4.2,89.4,6.7,Bachelors,Yes,Yes,Yes,79.7
208,Female,4.0,94.0,6.9,High School,No,Yes,No,74.0
209,Female,5.1,61.4,7.8,High School,Yes,Yes,Yes,100.0
210,Male,2.7,74.9,4.1,Bachelors,Yes,No,No,57.7
211,Male,3.1,91.2,6.1,Bachelors,Yes,Yes,No,49.5
212,Male,2.0,100.0,7.1,Bachelors,Yes,Yes,No,65.3
213,Male,2.8,85.2,8.2,High School,Yes,Yes,Yes,51.2
214,Male,4.1,77.7,6.2,High School,Yes,Yes,Yes,52.1
215,Male,4.6,83.2,4.5,Bachelors,Yes,Yes,No,58.0
216,Male,2.1,98.7,7.5,High School,Yes,No,No,58.9
217,Female,4.8,78.5,6.0,Masters,Yes,No,No,58.5
218,Male,5.5,77.0,5.4,High School,Yes,No,No,76.2
219,Female,4.1,80.2,6.1,Bachelors,Yes,No,No,63.9
220,Male,6.3,75.5,6.6,None,Yes,No,No,67.8
221,Male,2.3,86.2,6.1,High School,Yes,Yes,No,80.7
222,Male,1.6,100.0,4.2,Bachelors,No,No,No,60.8
223,Female,0.8,88.2,7.9,High School,No,No,Yes,66.8
224,Female,5.7,82.5,8.3,Bachelors,Yes,No,Yes,74.4
225,Female,4.5,82.1,7.6,Bachelors,Yes,Yes,No,46.7
226,Female,3.4,69.4,5.4,Bachelors,Yes,Yes,No,41.4
227,Male,3.9,93.8,6.6,Bachelors,Yes,No,Yes,74.2
228,Female,1.8,84.2,6.8,PhD,Yes,No,Yes,75.9
229,Male,7.2,83.2,7.5,High School,Yes,No,No,94.8
230,Male,3.7,100.0,7.6,High School,Yes,Yes,Yes,71.9
231,Female,3.7,88.0,5.9,PhD,Yes,Yes,No,79.8
232,Female,4.6,77.5,6.9,Bachelors,Yes,Yes,No,67.7
233,Female,4.2,80.7,7.3,PhD,Yes,No,No,73.6
234,Female,3.8,96.5,8.5,Bachelors,Yes,Yes,No,90.0
235,Female,2.3,86.1,7.6,Masters,Yes,Yes,No,44.5
236,Female,4.2,70.6,7.7,Bachelors,Yes,No,No,75.0
237,Female,6.3,94.2,6.9,Masters,Yes,Yes,No,95.6
238,Female,5.5,78.3,8.5,None,Yes,No,No,73.4
239,Male,5.9,100.0,7.3,Bachelors,Yes,Yes,No,89.8
240,Female,2.7,95.8,5.8,High School,Yes,No,Yes,62.4
241,Female,2.0,80.5,8.5,High School,Yes,No,Yes,69.6
242,Male,3.3,97.8,7.6,High School,Yes,No,Yes,70.4
243,Female,3.6,85.7,6.3,High School,Yes,No,Yes,43.4
244,Male,5.1,93.5,6.2,High School,Yes,Yes,No,56.0
245,Male,1.0,89.8,7.2,Bachelors,Yes,Yes,No,56.8
246,Female,5.8,76.5,7.4,Bachelors,Yes,Yes,No,79.9
247,Male,3.3,78.6,7.0,Bachelors,Yes,No,No,80.5
248,Male,2.9,95.3,7.2,Bachelors,No,No,No,73.9
249,Male,2.0,81.7,8.8,High School,Yes,Yes,No,79.9
250,Male,1.0,81.0,8.1,High School,Yes,No,No,68.0
251,Female,4.7,75.4,7.0,High School,Yes,Yes,Yes,84.4
252,Male,3.6,89.2,7.9,Bachelors,Yes,No,Yes,70.1
253,Female,1.6,100.0,5.6,High School,No,No,No,70.7
254,Male,1.6,74.3,7.3,High School,Yes,Yes,No,66.8
255,Male,3.0,85.2,9.0,Bachelors,Yes,Yes,Yes,78.2
256,Male,6.0,99.1,6.5,Masters,Yes,Yes,Yes,64.9
257,Male,3.1,84.2,5.8,High School,Yes,No,No,81.7
258,Female,1.2,89.5,6.0,Bachelors,Yes,Yes,Yes,56.4
259,Female,3.1,74.4,5.5,Masters,Yes,Yes,No,56.8
260,Male,3.1,89.3,5.9,Masters,Yes,Yes,No,78.2
261,Male,0.5,83.1,6.4,None,Yes,Yes,No,68.9
262,Female,3.4,94.9,5.1,High School,Yes,Yes,No,64.6
263,Male,3.2,96.9,6.8,High School,No,No,No,80.7
264,Male,4.5,100.0,7.9,PhD,Yes,Yes,No,62.7
265,Male,6.3,90.8,5.7,Bachelors,Yes,No,No,67.6
266,Female,5.2,88.3,8.6,Bachelors,Yes,No,No,86.8
267,Female,3.1,86.9,7.4,Masters,Yes,Yes,Yes,88.5
268,Female,1.8,81.5,8.0,Masters,Yes,Yes,No,88.9
269,Male,7.4,88.4,6.0,None,Yes,No,No,66.6
270,Male,3.6,82.0,7.8,None,Yes,No,No,84.8
271,Female,3.5,86.7,5.5,Masters,Yes,Yes,No,58.6
272,Female,3.5,98.2,7.9,High School,No,Yes,No,59.1
273,Female,3.8,74.9,7.0,PhD,Yes,Yes,Yes,41.8
274,Female,3.3,96.4,7.5,High School,Yes,No,No,90.1
275,Male,2.6,98.2,5.4,High School,No,Yes,No,59.6
276,Female,2.7,83.8,5.7,PhD,Yes,Yes,No,68.5
277,Male,3.5,63.8,7.5,High School,Yes,No,No,59.1
278,Female,2.7,78.9,5.7,High School,Yes,No,Yes,78.3
279,Male,2.4,98.0,7.4,High School,Yes,Yes,No,65.5
280,Female,3.7,84.8,5.2,PhD,No,Yes,Yes,54.3
281,Female,3.1,75.0,7.8,Bachelors,No,No,No,75.3
282,Female,5.8,80.0,5.3,Masters,Yes,Yes,No,52.8
283,Female,0.5,93.4,7.5,High School,Yes,Yes,Yes,60.0
284,Male,5.1,90.5,7.6,Masters,Yes,No,No,44.7
285,Female,5.4,82.6,6.0,Masters,Yes,Yes,Yes,52.9
286,Male,0.5,81.3,7.5,High School,Yes,No,Yes,72.1
287,Male,3.0,81.1,7.1,Bachelors,Yes,No,No,46.4
288,Male,2.9,75.8,6.2,High School,No,Yes,No,52.2
289,Male,1.4,100.0,5.6,None,No,Yes,No,70.0
290,Female,2.3,81.8,4.4,Bachelors,Yes,No,No,63.5
291,Male,1.8,97.2,7.2,None,Yes,No,No,93.9
292,Male,6.1,100.0,4.9,High School,Yes,No,No,92.0
293,Male,4.9,95.0,6.9,Masters,Yes,No,Yes,59.6
294,Female,5.4,80.7,6.5,Masters,Yes,Yes,Yes,76.7
295,Female,4.6,89.0,7.6,Masters,Yes,No,No,79.0
296,Female,1.8,84.8,6.4,None,Yes,Yes,No,62.8
297,Female,2.7,76.0,6.4,Bachelors,Yes,Yes,No,52.1
298,Male,4.2,88.2,7.7,High School,Yes,Yes,No,69.9
299,Male,1.7,73.2,7.2,Masters,No,Yes,No,67.9
300,Female,4.6,96.9,7.2,Masters,Yes,No,Yes,64.8
301,Male,3.1,80.4,7.4,Bachelors,Yes,Yes,Yes,75.3
302,Male,2.9,87.0,5.0,High School,Yes,Yes,No,61.0
303,Male,4.6,87.8,7.7,Bachelors,Yes,Yes,No,56.2
304,Female,4.2,82.4,7.5,High School,No,No,No,71.3
305,Female,3.0,90.9,5.6,Bachelors,Yes,No,Yes,74.6
306,Male,5.2,80.3,6.5,Bachelors,Yes,Yes,No,55.9
307,Female,1.9,93.7,6.8,Masters,Yes,Yes,Yes,81.1
308,Female,4.4,71.5,6.6,High School,Yes,Yes,Yes,48.8
309,Female,4.4,86.3,7.2,Bachelors,Yes,No,No,63.1
310,Female,3.0,100.0,8.5,High School,Yes,No,Yes,66.9
311,Female,4.0,75.0,8.1,High School,Yes,Yes,No,62.4
312,Male,1.6,78.2,5.2,Masters,Yes,No,Yes,63.2
313,Female,4.9,90.1,7.5,None,Yes,Yes,No,92.5
314,Male,3.2,86.8,8.4,Bachelors,Yes,No,No,59.8
315,Male,2.7,88.5,7.3,Masters,Yes,Yes,No,99.3
316,Female,5.1,89.9,8.1,PhD,Yes,Yes,No,75.2
317,Male,2.4,91.3,9.2,Masters,No,Yes,Yes,71.1
318,Male,1.4,96.1,8.0,High School,No,Yes,No,75.7
319,Male,1.2,89.1,7.1,None,Yes,No,No,100.0
320,Female,4.4,82.6,8.1,Bachelors,Yes,Yes,Yes,58.1
321,Female,1.6,91.7,7.0,High School,Yes,No,No,56.6
322,Male,6.1,100.0,6.8,High School,Yes,No,Yes,60.9
323,Female,0.5,83.7,6.4,Bachelors,Yes,Yes,No,70.4
324,Female,6.0,75.3,8.7,High School,Yes,Yes,No,49.3
325,Female,3.8,96.1,5.8,High School,Yes,Yes,Yes,70.3
326,Female,3.4,83.8,8.6,High School,Yes,No,No,90.3
327,Male,2.7,63.3,7.4,Masters,No,Yes,No,71.8
328,Male,4.1,93.5,5.1,PhD,Yes,Yes,No,66.5
329,Female,3.4,79.6,7.2,High School,Yes,Yes,No,62.6
330,Female,5.2,84.1,4.3,PhD,Yes,No,No,80.8
331,Male,3.7,88.3,7.6,PhD,Yes,Yes,No,60.1
332,Male,3.7,86.9,7.9,Masters,No,Yes,No,92.2
333,Female,3.0,92.1,6.1,High School,Yes,Yes,Yes,93.2
334,Male,3.4,80.6,6.9,Masters,Yes,Yes,No,73.1
335,Female,4.0,90.1,9.1,None,Yes,No,No,69.9
336,Female,0.9,82.4,6.2,Masters,Yes,Yes,No,82.4
337,Male,1.5,92.4,5.5,High School,Yes,No,No,83.1
338,Male,4.6,91.2,8.6,Bachelors,Yes,No,No,60.3
339,Female,3.8,75.6,9.2,Bachelors,Yes,No,No,63.7
340,Female,3.2,95.9,6.8,Bachelors,Yes,No,No,54.1
341,Male,3.5,79.6,8.0,High School,Yes,Yes,No,74.9
342,Female,4.0,93.1,8.4,High School,Yes,Yes,No,78.0
343,Male,2.7,88.7,5.9,Masters,Yes,No,No,53.8
344,Female,2.3,100.0,6.2,PhD,Yes,Yes,No,64.5
345,Male,3.8,82.8,8.3,High School,Yes,No,No,53.8
346,Male,2.0,81.5,8.8,None,Yes,Yes,Yes,59.2
347,Male,4.1,84.8,7.5,High School,Yes,No,No,76.6
348,Female,0.9,82.0,5.7,Masters,Yes,No,No,61.2
349,Female,5.0,93.0,9.2,Masters,Yes,Yes,Yes,66.4
350,Male,4.2,68.8,6.2,Masters,Yes,Yes,Yes,50.5
351,Female,3.9,74.5,6.4,None,Yes,No,No,72.2
352,Male,5.0,74.3,7.2,High School,Yes,No,No,69.5
353,Male,6.0,94.5,8.7,PhD,Yes,Yes,No,61.3
354,Female,5.0,100.0,7.8,High School,Yes,No,Yes,67.7
355,Female,0.7,84.0,7.3,Masters,Yes,Yes,Yes,72.2
356,Male,1.6,83.3,7.4,Masters,Yes,Yes,No,60.2
357,Female,2.6,85.7,6.9,Masters,Yes,No,No,52.3
358,Female,3.5,96.6,7.5,High School,Yes,No,Yes,91.7
359,Male,4.3,75.7,3.8,PhD,Yes,No,No,62.4
360,Male,2.4,87.4,6.4,High School,Yes,No,No,68.8
361,Female,3.8,94.8,7.1,High School,Yes,Yes,Yes,82.1
362,Male,2.4,90.0,5.4,Masters,Yes,No,Yes,100.0
363,Male,2.6,86.9,7.3,Bachelors,Yes,Yes,Yes,55.1
364,Female,1.4,95.0,6.6,Masters,Yes,Yes,No,75.4
365,Male,2.1,58.0,8.9,Bachelors,Yes,Yes,No,61.5
366,Male,1.5,91.8,8.7,High School,Yes,Yes,No,63.5
367,Female,2.0,78.5,6.2,Masters,Yes,Yes,No,61.4
368,Female,5.1,66.7,6.6,Bachelors,No,Yes,No,56.5
369,Male,2.1,90.1,6.7,High School,No,Yes,No,69.5
370,Male,7.4,98.7,6.3,Masters,Yes,Yes,No,52.3
371,Female,4.2,83.6,7.0,Bachelors,Yes,No,Yes,81.4
372,Female,3.8,94.5,5.9,Bachelors,Yes,Yes,No,70.7
373,Female,2.2,100.0,5.4,Bachelors,Yes,Yes,No,75.1
374,Female,4.6,98.1,7.5,Masters,Yes,No,No,64.4
375,Male,2.6,100.0,7.6,Masters,Yes,No,No,65.6
376,Female,3.7,92.4,5.8,Masters,Yes,No,Yes,73.5
377,Female,7.3,85.8,7.9,High School,Yes,Yes,No,56.0
378,Male,3.4,69.0,6.0,Masters,Yes,No,No,65.7
379,Female,5.2,82.5,7.1,Masters,Yes,Yes,No,59.7
380,Male,2.4,76.6,7.8,Masters,Yes,Yes,No,59.3
381,Female,3.4,100.0,6.8,Bachelors,No,Yes,No,44.7
382,Female,6.2,83.2,7.3,PhD,Yes,No,No,86.1
383,Female,2.6,86.2,6.2,Masters,Yes,Yes,No,61.8
384,Male,6.2,90.5,6.6,High School,Yes,Yes,No,84.0
385,Male,4.6,85.4,6.6,Bachelors,No,Yes,No,82.8
386,Female,2.7,100.0,5.9,PhD,Yes,No,No,54.6
387,Male,4.4,78.8,6.6,High School,Yes,No,No,56.9
388,Male,5.0,86.9,4.9,None,Yes,Yes,No,100.0
389,Male,4.4,77.6,6.2,Masters,Yes,No,Yes,91.0
390,Male,1.1,71.8,6.5,Bachelors,Yes,Yes,Yes,69.6
391,Male,2.4,78.9,6.5,High School,Yes,No,No,73.1
392,Male,3.1,84.6,6.5,High School,Yes,Yes,No,62.4
393,Female,3.4,80.7,6.7,None,No,No,No,75.2
394,Female,4.4,78.1,7.4,High School,Yes,Yes,No,61.4
395,Male,3.8,70.9,7.8,Masters,Yes,No,Yes,45.6
396,Female,1.5,84.2,6.0,Bachelors,Yes,Yes,No,54.1
397,Female,4.1,70.0,5.4,High School,Yes,Yes,No,70.3
398,Female,4.4,92.6,5.5,High School,No,Yes,No,56.4
399,Female,4.3,85.8,6.2,Bachelors,Yes,Yes,No,69.2
400,Male,5.1,70.4,6.4,None,Yes,Yes,No,57.1
401,Female,4.8,81.9,5.9,Bachelors,Yes,No,Yes,60.6
